,0,1,2,3
0,"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone","180,866",$29.00,https://m.media-amazon.com/images/I/41-aexp44tL._AC_UY218_.jpg
1,JBL Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black,$17.68,$29.00,https://m.media-amazon.com/images/I/61yjoRgptdL._AC_UY218_.jpg
2,"Bose Noise Cancelling Headphones 700, Bluetooth, Over-Ear Wireless Headphones with Built-In Microphone for Clear Calls & Alexa Voice Control, Black",$,$49.95,https://m.media-amazon.com/images/I/51BcwAyqVZL._AC_UY218_.jpg
3,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",17,$49.95,https://m.media-amazon.com/images/I/11hfR5Cq9GL._SS200_.png
4,"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",.,$29.90,https://m.media-amazon.com/images/I/11hfR5Cq9GL._SS200_.png
5,"RORSOU R10 On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M No-Tangle Cord, Portable Wired Headphones for Smartphone Tablet Computer MP3 / 4 (Black)",68,$29.90,https://m.media-amazon.com/images/I/51otLJ2wv+L._AC_UL320_.jpg
6,POWMEE P20 Kids Headphones Over-Ear Headphones for Kids/Teens/Boys/Girls/School with 94dB Volume Limited Adjustable Stereo Tangle-Free 3.5MM Jack Wire Cord for Fire Tablets/Travel/PC/Phones(Blue), ,$79.99,https://m.media-amazon.com/images/I/61I0DGwn0lL._AC_UL320_.jpg
7,"Beats Studio3 Wireless Noise Cancelling Over-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 22 Hours of Listening Time, Built-in Microphone - White (Latest Model)",$29.00,$79.99,https://m.media-amazon.com/images/I/71BpqRQ1qDL._AC_UL320_.jpg
8,Bose QuietComfort 45 Bluetooth Wireless Noise Cancelling Headphones - Triple Black,$29.00,$12.99,https://m.media-amazon.com/images/I/61MbFOIeJTL._AC_UL320_.jpg
9,"Srhythm NC25 Active Noise Cancelling Headphones Bluetooth 5.3,ANC Stereo Headset Over-Ear with Hi-Fi,Mic,50H Playtime,Voice Assistant,Low Latency Game Mode", ,$12.99,https://m.media-amazon.com/images/I/71o8Q5XJS5L._AC_UL320_.jpg
10,"Apple EarPods Headphones with 3.5mm Plug. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds","17,412",$24.99,https://m.media-amazon.com/images/I/11hfR5Cq9GL._SS200_.png
11,"Wired Earbuds with Microphone 5 Pack, in-Ear Headphones with Heavy Bass, High Sound Quality Earphones Compatible with iPod, iPad, MP3, Android Phones, Fits All 3.5mm Jack",$29.95,$24.99,https://m.media-amazon.com/images/I/11hfR5Cq9GL._SS200_.png
12,"Maxell 190319 Stereo Headphone, Black (Packaging May Vary)",$,$20.99,https://m.media-amazon.com/images/I/51JbsHSktkL._AC_UL320_.jpg
13,"Bluetooth Headphones Over-Ear, 60 Hours Playtime Foldable Lightweight Wireless Headphones Hi-Fi Stereo with 6 EQ Modes, Bass Adjustable Headset with Built-in HD Mic, FM, SD/TF for PC/Home",29,$20.99,https://m.media-amazon.com/images/I/51Fa9W9caDS._AC_UL320_.jpg
14,"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Pearl Pink)",.,$349.95,https://m.media-amazon.com/images/I/71ZC0hq5mGL._AC_UY218_.jpg
15,"JBL Live 650BTNC Headphones, Black - Wireless Over-Ear Bluetooth Headphones - Up to 20 Hours of Noise-Cancelling Streaming - Includes Multi-Point Connection & Voice Assistant",95,$349.95,https://m.media-amazon.com/images/I/61fU3njgzZL._AC_UY218_.jpg
